Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2020,6,Mohawk Valley,Schoharie,1400,1760000
2020,6,Southern Tier,Schuyler,1300,1520000
2020,6,Finger Lakes,Seneca,2000,2620000
2020,6,Southern Tier,Steuben,6900,7750000
2020,6,North Country,St. Lawrence,5000,6270000
2020,6,Long Island,Suffolk,117900,181730000
2020,6,Hudson Valley,Sullivan,5200,8140000
2020,6,Southern Tier,Tioga,2700,3400000
2020,6,Southern Tier,Tompkins,5100,6720000
2020,6,Hudson Valley,Ulster,12000,17010000
2020,6,Unknown Geography,Unknown,800,1450000
2020,6,Capital,Warren,4800,5950000
2020,6,Capital,Washington,3300,4100000
2020,6,Finger Lakes,Wayne,5400,6880000
2020,6,Hudson Valley,Westchester,61900,103080000
2020,6,Finger Lakes,Wyoming,2200,2590000
2020,6,Finger Lakes,Yates,1200,1350000
2020,5,Capital,Albany,16900,20690000
2020,5,Western New York,Allegany,2200,2470000
2020,5,New York City,Bronx,129000,176810000
2020,5,Southern Tier,Broome,12300,13260000
2020,5,Western New York,Cattaraugus,6000,6810000
2020,5,Central New York,Cayuga,5100,5680000
2020,5,Western New York,Chautauqua,9200,9540000
2020,5,Southern Tier,Chemung,5700,6490000
2020,5,Southern Tier,Chenango,2500,2750000
2020,5,North Country,Clinton,5900,6790000
2020,5,Capital,Columbia,2900,3570000
2020,5,Central New York,Cortland,3100,3510000
2020,5,Southern Tier,Delaware,2000,2330000
2020,5,Hudson Valley,Dutchess,18600,23770000
2020,5,Western New York,Erie,82500,96240000
2020,5,North Country,Essex,2100,2450000
2020,5,North Country,Franklin,2900,3570000
2020,5,Mohawk Valley,Fulton,3200,3580000
2020,5,Finger Lakes,Genesee,4300,4670000
2020,5,Capital,Greene,2900,3450000
2020,5,North Country,Hamilton,300,280000
2020,5,Mohawk Valley,Herkimer,3600,3990000
2020,5,North Country,Jefferson,6500,7050000
2020,5,New York City,Kings,221100,317570000
2020,5,North Country,Lewis,1400,1540000
2020,5,Finger Lakes,Livingston,4100,4590000
2020,5,Central New York,Madison,4800,5720000
2020,5,Finger Lakes,Monroe,53900,61010000
2020,5,Mohawk Valley,Montgomery,3500,4120000
2020,5,Long Island,Nassau,106900,151030000
2020,5,New York City,New York,113900,174370000
2020,5,Western New York,Niagara,22100,26090000
2020,5,Mohawk Valley,Oneida,15400,17420000
2020,5,Central New York,Onondaga,35300,41190000
2020,5,Finger Lakes,Ontario,7300,8350000
2020,5,Hudson Valley,Orange,25800,33740000
2020,5,Finger Lakes,Orleans,2800,2930000
2020,5,Central New York,Oswego,8800,9920000
2020,5,Mohawk Valley,Otsego,2900,3350000
2020,5,Out-of-State Resident,Out-of-State,93800,156430000
2020,5,Hudson Valley,Putnam,6400,8830000
2020,5,New York City,Queens,238100,340980000
2020,5,Capital,Rensselaer,9400,11400000
2020,5,New York City,Richmond,36300,49810000
2020,5,Hudson Valley,Rockland,17800,24020000
2020,5,Capital,Saratoga,15100,18990000
2020,5,Capital,Schenectady,11500,14010000
2020,5,Mohawk Valley,Schoharie,1500,1740000
2020,5,Southern Tier,Schuyler,1300,1620000
2020,5,Finger Lakes,Seneca,2200,2600000
2020,5,Southern Tier,Steuben,6400,7290000
2020,5,North Country,St. Lawrence,5400,6240000
2020,5,Long Island,Suffolk,122600,166970000
2020,5,Hudson Valley,Sullivan,5100,6760000
2020,5,Southern Tier,Tioga,2900,3490000
2020,5,Southern Tier,Tompkins,4900,5790000
2020,5,Hudson Valley,Ulster,12400,15440000
2020,5,Unknown Geography,Unknown,700,970000
2020,5,Capital,Warren,5200,5970000
2020,5,Capital,Washington,3600,4090000
2020,5,Finger Lakes,Wayne,5900,6870000
2020,5,Hudson Valley,Westchester,60000,85540000
2020,5,Finger Lakes,Wyoming,2600,2870000
2020,5,Finger Lakes,Yates,1300,1430000
2020,4,Capital,Albany,13300,15920000
2020,4,Western New York,Allegany,1900,2150000
2020,4,New York City,Bronx,94900,119660000
2020,4,Southern Tier,Broome,10700,11970000
2020,4,Western New York,Cattaraugus,5200,5920000
2020,4,Central New York,Cayuga,4500,5380000
2020,4,Western New York,Chautauqua,8000,8740000
2020,4,Southern Tier,Chemung,4600,5300000
2020,4,Southern Tier,Chenango,2300,2650000
2020,4,North Country,Clinton,4900,6100000
2020,4,Capital,Columbia,2300,2930000
2020,4,Central New York,Cortland,2800,3320000
2020,4,Southern Tier,Delaware,1700,1980000
2020,4,Hudson Valley,Dutchess,15700,20250000
2020,4,Western New York,Erie,68900,83370000
2020,4,North Country,Essex,1900,2370000
2020,4,North Country,Franklin,2500,2900000
2020,4,Mohawk Valley,Fulton,2700,3280000
2020,4,Finger Lakes,Genesee,3800,4470000
2020,4,Capital,Greene,2500,2970000
2020,4,North Country,Hamilton,200,270000
2020,4,Mohawk Valley,Herkimer,3500,4360000
2020,4,North Country,Jefferson,6100,6860000
2020,4,New York City,Kings,165800,219030000
2020,4,North Country,Lewis,1300,1560000
2020,4,Finger Lakes,Livingston,3700,4660000
2020,4,Central New York,Madison,4400,5490000
2020,4,Finger Lakes,Monroe,43200,52790000
2020,4,Mohawk Valley,Montgomery,3100,3720000
2020,4,Long Island,Nassau,84900,115120000
2020,4,New York City,New York,86000,123110000
2020,4,Western New York,Niagara,19300,24080000
2020,4,Mohawk Valley,Oneida,12600,14630000
2020,4,Central New York,Onondaga,29300,35170000
2020,4,Finger Lakes,Ontario,6500,7910000
2020,4,Hudson Valley,Orange,21300,27250000
2020,4,Finger Lakes,Orleans,2500,2800000
2020,4,Central New York,Oswego,7700,9170000
2020,4,Mohawk Valley,Otsego,2600,3120000
2020,4,Out-of-State Resident,Out-of-State,73100,115410000
2020,4,Hudson Valley,Putnam,5300,7390000
2020,4,New York City,Queens,185700,242550000
2020,4,Capital,Rensselaer,7800,9630000
2020,4,New York City,Richmond,29000,37660000
2020,4,Hudson Valley,Rockland,13600,17300000
2020,4,Capital,Saratoga,12800,16090000
2020,4,Capital,Schenectady,9200,10870000
2020,4,Mohawk Valley,Schoharie,1400,1640000
2020,4,Southern Tier,Schuyler,1100,1460000
2020,4,Finger Lakes,Seneca,1900,2280000
2020,4,Southern Tier,Steuben,5600,6760000
2020,4,North Country,St. Lawrence,5000,5730000
2020,4,Long Island,Suffolk,101900,135870000
2020,4,Hudson Valley,Sullivan,3900,4780000
2020,4,Southern Tier,Tioga,2700,3350000
2020,4,Southern Tier,Tompkins,3900,4830000
2020,4,Hudson Valley,Ulster,10400,13040000
2020,4,Unknown Geography,Unknown,400,540000
2020,4,Capital,Warren,4500,5400000
2020,4,Capital,Washington,3200,3740000
2020,4,Finger Lakes,Wayne,5200,6600000
2020,4,Hudson Valley,Westchester,47400,64610000
2020,4,Finger Lakes,Wyoming,2500,3020000
2020,4,Finger Lakes,Yates,1200,1490000
2020,3,Capital,Albany,4700,4020000
2020,3,Western New York,Allegany,900,910000
2020,3,New York City,Bronx,27400,25930000
2020,3,Southern Tier,Broome,4000,3620000
2020,3,Western New York,Cattaraugus,2200,2030000
2020,3,Central New York,Cayuga,1700,1570000
2020,3,Western New York,Chautauqua,3100,2670000
2020,3,Southern Tier,Chemung,1700,1280000
2020,3,Southern Tier,Chenango,1000,1110000
2020,3,North Country,Clinton,2200,1880000
2020,3,Capital,Columbia,800,800000
2020,3,Central New York,Cortland,1200,1330000
2020,3,Southern Tier,Delaware,700,710000
2020,3,Hudson Valley,Dutchess,4800,4260000
2020,3,Western New York,Erie,25600,20170000
2020,3,North Country,Essex,900,830000
2020,3,North Country,Franklin,1000,970000
2020,3,Mohawk Valley,Fulton,1100,1050000
2020,3,Finger Lakes,Genesee,1600,1380000
2020,3,Capital,Greene,1100,900000
2020,3,North Country,Hamilton,100,150000
2020,3,Mohawk Valley,Herkimer,1800,1650000
2020,3,North Country,Jefferson,2900,2660000
2020,3,New York City,Kings,46400,43300000
2020,3,North Country,Lewis,700,850000
2020,3,Finger Lakes,Livingston,1700,1470000
2020,3,Central New York,Madison,1600,1540000
2020,3,Finger Lakes,Monroe,16300,13070000
2020,3,Mohawk Valley,Montgomery,1400,1420000
2020,3,Long Island,Nassau,22000,20060000
2020,3,New York City,New York,29100,28840000
2020,3,Western New York,Niagara,7900,6120000
2020,3,Mohawk Valley,Oneida,4400,3670000
2020,3,Central New York,Onondaga,9700,7900000
2020,3,Finger Lakes,Ontario,2500,2170000
2020,3,Hudson Valley,Orange,6400,5750000
2020,3,Finger Lakes,Orleans,1000,850000
2020,3,Central New York,Oswego,3100,2950000
2020,3,Mohawk Valley,Otsego,1400,1320000
2020,3,Out-of-State Resident,Out-of-State,25000,31430000
2020,3,Hudson Valley,Putnam,1600,1520000
2020,3,New York City,Queens,41000,36880000
2020,3,Capital,Rensselaer,3100,2820000
2020,3,New York City,Richmond,7600,6820000
2020,3,Hudson Valley,Rockland,3800,3450000
2020,3,Capital,Saratoga,4600,3790000
2020,3,Capital,Schenectady,3100,2650000
2020,3,Mohawk Valley,Schoharie,700,750000
2020,3,Southern Tier,Schuyler,500,510000
2020,3,Finger Lakes,Seneca,700,650000
2020,3,Southern Tier,Steuben,2400,1990000
2020,3,North Country,St. Lawrence,2200,2110000
2020,3,Long Island,Suffolk,31600,29350000
2020,3,Hudson Valley,Sullivan,1400,1360000
2020,3,Southern Tier,Tioga,1000,970000
2020,3,Southern Tier,Tompkins,1400,1060000
2020,3,Hudson Valley,Ulster,3600,3040000
2020,3,Unknown Geography,Unknown,100,200000
2020,3,Capital,Warren,2000,1770000
2020,3,Capital,Washington,1300,1160000
2020,3,Finger Lakes,Wayne,2000,1990000
2020,3,Hudson Valley,Westchester,14500,14130000
2020,3,Finger Lakes,Wyoming,1200,1140000
2020,3,Finger Lakes,Yates,600,480000
2020,2,Capital,Albany,2100,2350000
2020,2,Western New York,Allegany,500,630000
2020,2,New York City,Bronx,15200,15960000
2020,2,Southern Tier,Broome,2000,2450000
2020,2,Western New York,Cattaraugus,1200,1420000
2020,2,Central New York,Cayuga,900,1060000
2020,2,Western New York,Chautauqua,1600,1660000
2020,2,Southern Tier,Chemung,800,750000
2020,2,Southern Tier,Chenango,700,850000
2020,2,North Country,Clinton,1300,1250000
2020,2,Capital,Columbia,500,530000
2020,2,Central New York,Cortland,700,970000
2020,2,Southern Tier,Delaware,500,560000
2020,2,Hudson Valley,Dutchess,2000,2500000
2020,2,Western New York,Erie,10500,11510000
2020,2,North Country,Essex,500,530000
2020,2,North Country,Franklin,600,640000
2020,2,Mohawk Valley,Fulton,600,700000
2020,2,Finger Lakes,Genesee,800,940000
2020,2,Capital,Greene,500,600000
2020,2,North Country,Hamilton,100,100000
2020,2,Mohawk Valley,Herkimer,1000,1100000
2020,2,North Country,Jefferson,1700,1840000
2020,2,New York City,Kings,21300,23990000
2020,2,North Country,Lewis,500,660000
2020,2,Finger Lakes,Livingston,800,960000
2020,2,Central New York,Madison,900,1040000
2020,2,Finger Lakes,Monroe,7200,7610000
2020,2,Mohawk Valley,Montgomery,900,1070000
2020,2,Long Island,Nassau,10200,11890000
2020,2,New York City,New York,12900,15800000
2020,2,Western New York,Niagara,3400,3540000
2020,2,Mohawk Valley,Oneida,2200,2350000
2020,2,Central New York,Onondaga,4100,4630000
2020,2,Finger Lakes,Ontario,1200,1350000
2020,2,Hudson Valley,Orange,2800,3440000
2020,2,Finger Lakes,Orleans,500,570000
2020,2,Central New York,Oswego,1900,2220000
2020,2,Mohawk Valley,Otsego,800,940000
2020,2,Out-of-State Resident,Out-of-State,15100,21510000
2020,2,Hudson Valley,Putnam,700,930000
2020,2,New York City,Queens,16300,19010000
2020,2,Capital,Rensselaer,1500,1800000
2020,2,New York City,Richmond,3700,4100000
2020,2,Hudson Valley,Rockland,1900,2130000
2020,2,Capital,Saratoga,1800,2110000
2020,2,Capital,Schenectady,1500,1600000
2020,2,Mohawk Valley,Schoharie,500,610000
2020,2,Southern Tier,Schuyler,300,340000
2020,2,Finger Lakes,Seneca,400,460000
2020,2,Southern Tier,Steuben,1100,1270000
2020,2,North Country,St. Lawrence,1300,1410000
2020,2,Long Island,Suffolk,16200,18900000
2020,2,Hudson Valley,Sullivan,800,960000
2020,2,Southern Tier,Tioga,600,660000
2020,2,Southern Tier,Tompkins,500,610000
2020,2,Hudson Valley,Ulster,1500,1760000
2020,2,Unknown Geography,Unknown,100,140000
2020,2,Capital,Warren,1000,1000000
2020,2,Capital,Washington,700,770000
2020,2,Finger Lakes,Wayne,1200,1420000
2020,2,Hudson Valley,Westchester,7100,8540000
2020,2,Finger Lakes,Wyoming,700,830000
2020,2,Finger Lakes,Yates,300,320000
2020,1,Capital,Albany,2300,2460000
2020,1,Western New York,Allegany,600,680000
2020,1,New York City,Bronx,15100,16030000
2020,1,Southern Tier,Broome,2200,2460000
2020,1,Western New York,Cattaraugus,1300,1450000
2020,1,Central New York,Cayuga,1000,1080000
2020,1,Western New York,Chautauqua,1600,1680000
2020,1,Southern Tier,Chemung,700,770000
2020,1,Southern Tier,Chenango,700,800000
2020,1,North Country,Clinton,1400,1250000
2020,1,Capital,Columbia,500,530000
2020,1,Central New York,Cortland,800,1020000
2020,1,Southern Tier,Delaware,500,540000
2020,1,Hudson Valley,Dutchess,2100,2520000
2020,1,Western New York,Erie,10900,11680000
2020,1,North Country,Essex,500,520000
2020,1,North Country,Franklin,600,650000
2020,1,Mohawk Valley,Fulton,600,640000
2020,1,Finger Lakes,Genesee,800,940000
2020,1,Capital,Greene,600,610000
2020,1,North Country,Hamilton,100,90000
2020,1,Mohawk Valley,Herkimer,1000,1080000
2020,1,North Country,Jefferson,1800,1870000
2020,1,New York City,Kings,21300,24590000
2020,1,North Country,Lewis,500,670000
2020,1,Finger Lakes,Livingston,900,980000
2020,1,Central New York,Madison,1000,1110000
